Title,Company,Posted on,Location,Experience,Skills,Url,Scrape_date
"Engineering Manager, AI Innovation and Research, AI/ML",Google India Pvt Ltd,2025-11-11,Bengaluru,8-11 Years,"['ai/ml leadership', 'model deployment', 'infrastructure optimization', 'recommendation systems', 'team mentoring', 'job posting', 'recruitment', 'workforce', 'decision making']",https://m.timesjobs.com/mobile/job-detail/engineering-manager-ai-innovation-and-research-ai-ml-google-india-pvt-ltd-bengaluru-bangalore-8-to-11-yrs-jobid-7W07IMZ5z7dzpSvf__PLUS__uAgZw==&bc=+&sequence=117,2025-11-11
"Solutions Architect, Generative AI",Nvidia Graphics Pvt Ltd,2025-11-11,Canada,5-10 Years,"['ai model deployment', 'generative ai solutions', 'python programming', 'deep learning frameworks', 'prototype development', 'cuda', 'c', 'system software', 'software engineer', 'kernel', 'machine learning']",https://m.timesjobs.com/mobile/job-detail/solutions-architect-generative-ai-nvidia-graphics-pvt-ltd-canada-5-to-10-yrs-jobid-J1gDdLcugaBzpSvf__PLUS__uAgZw==&bc=+&sequence=387,2025-11-11
"Software Engineer, AI/ML Platform, GPU",Google India Pvt Ltd,2025-11-11,Singapore,2-5 Years,"['software development', 'ai/ml implementation', 'cloud infrastructure', 'data structures', 'programming languages', 'algorithms', 'c', 'storage', 'artificial intelligence', 'java', 'system development', 'software engineer', 'python', 'javascript']",https://m.timesjobs.com/mobile/job-detail/software-engineer-ai-ml-platform-gpu-google-india-pvt-ltd-singapore-2-to-5-yrs-jobid-7sMeFMx1YapzpSvf__PLUS__uAgZw==&bc=+&sequence=994,2025-11-11
"Senior Software Engineer, AI Inference Systems",Nvidia Graphics Pvt Ltd,2025-11-11,Canada,5-7 Years,"['high performance inference', 'gpu programming optimization', 'machine learning frameworks', 'docker and kubernetes', 'c', 'orchestration', 'compilers', 'artificial intelligence', 'software engineering', 'data structures', 'python', 'github', 'fundamentals', 'algorithms', 'cuda', 'linux', 'debugging']",https://m.timesjobs.com/mobile/job-detail/senior-software-engineer-ai-inference-systems-nvidia-graphics-pvt-ltd-canada-5-to-7-yrs-jobid-Tc__PLUS__kZM47EE1zpSvf__PLUS__uAgZw==&bc=+&sequence=995,2025-11-11
"Software Engineer III, Generative AI, Google Cloud AI",Google India Pvt Ltd,2025-11-11,Seattle,2-5 Years,"['generative ai expertise', 'machine learning algorithms', 'cross functional project work', 'storage', 'artificial intelligence', 'security', 'system development', 'debugging', 'software engineer', 'natural language processing', 'information retrieval']",https://m.timesjobs.com/mobile/job-detail/software-engineer-iii-generative-ai-google-cloud-ai-google-india-pvt-ltd-seattle-2-to-5-yrs-jobid-Od116SpNqWNzpSvf__PLUS__uAgZw==&bc=+&sequence=118,2025-11-11
"Software Engineer III, AI Agent Ecosystem",Google India Pvt Ltd,2025-11-11,Poland,2-5 Years,"['software development', 'full stack development', 'distributed computing', 'ai technologies', 'collaborative problem solving', 'algorithms', 'c', 'css', 'storage', 'artificial intelligence', 'security', 'java', 'system development', 'debugging', 'software engineer', 'html', 'data structures', 'python', 'natural language processing']",https://m.timesjobs.com/mobile/job-detail/software-engineer-iii-ai-agent-ecosystem-google-india-pvt-ltd-2-to-5-yrs-jobid-VMZNwJtfLcFzpSvf__PLUS__uAgZw==&bc=+&sequence=910,2025-11-11
"Customer Engineer, AI/ML (Japanese)",Google India Pvt Ltd,2025-11-11,Japan,4-7 Years,"['customer stakeholder management', 'machine learning frameworks', 'deep learning expertise', 'ai solution architecture', 'graphics', 'artificial intelligence', 'technology consultant', 'database', 'cloud computing', 'natural language processing', 'mobile']",https://m.timesjobs.com/mobile/job-detail/customer-engineer-ai-ml-japanese-google-india-pvt-ltd-japan-4-to-7-yrs-jobid-a3__PLUS__YkGEvfvlzpSvf__PLUS__uAgZw==&bc=+&sequence=684,2025-11-11
Developer Technology Engineer - AI,Nvidia Graphics Pvt Ltd,2025-11-11,China,2-5 Years,"['gpu acceleration techniques', 'llm optimization strategies', 'cuda programming expertise', 'parallel algorithm development', 'software performance analysis', 'fundamentals', 'algorithms', 'c', 'software design', 'system software', 'fortran', 'data structures', 'problem solving', 'high performance computing']",https://m.timesjobs.com/mobile/job-detail/developer-technology-engineer-ai-nvidia-graphics-pvt-ltd-china-2-to-5-yrs-jobid-__SLASH__rVU9KEuqONzpSvf__PLUS__uAgZw==&bc=+&sequence=385,2025-11-11
"Software Engineering Manager, Applied AI",Google India Pvt Ltd,2025-11-11,Bengaluru,8-11 Years,"['software development', 'ml infrastructure', 'applied ai algorithms', 'team leadership', 'cross functional collaboration', 'c', 'software design', 'artificial intelligence', 'security', 'debugging', 'software engineering', 'python', 'natural language processing', 'information retrieval', 'machine learning']",https://m.timesjobs.com/mobile/job-detail/software-engineering-manager-applied-ai-google-india-pvt-ltd-bengaluru-bangalore-8-to-11-yrs-jobid-W40ArBM0g5hzpSvf__PLUS__uAgZw==&bc=+&sequence=670,2025-11-11
"Senior Software Engineer, AI/ML",Google India Pvt Ltd,2025-11-11,Bengaluru,5-8 Years,"['ai/ml technologies', 'software design', 'system design', 'full stack development', 'model deployment', 'senior software engineer', 'storage', 'artificial intelligence', 'security', 'debugging', 'web development', 'natural language processing', 'information retrieval', 'mobile', 'machine learning', 'infrastructure']",https://m.timesjobs.com/mobile/job-detail/senior-software-engineer-ai-ml-google-india-pvt-ltd-bengaluru-bangalore-5-to-8-yrs-jobid-mSg9q9tzS59zpSvf__PLUS__uAgZw==&bc=+&sequence=669,2025-11-11
