Title,Company,Posted on,Location,Experience,Skills
Data Scientist,ai enterprise,2025-08-20,Bengaluru,5-8 Years,"algorithms, python, apache"
Angular Developer,ai enterprise,2025-08-20,Bengaluru,6-9 Years,"rest, css, jee, javascript, security, java, spring mvc, xml, json, html"
Magento Developer,ai enterprise,2025-08-20,Bengaluru,3-6 Years,"css, javascript, docker, git, debugging, php, mysql, html, api, magento"
Airports/Airlines Recruitment - Ground Staff & Cabin Crew,AI Aviation,2025-07-31,Amritsar,0-3 Years,"ground staff, air ticketing, cabin crew, airport jobs, air hostess, flight attendant"
Customer Success Lead,Savram AI,2025-07-11,Bengaluru,5-8 Years,"customer engagement, technical literacy, net revenue retention, analytical mindset, stakeholder management"
Reasoning AI - GTM,Savram AI,2025-07-11,Bengaluru,3-5 Years,"gtm strategy development, market positioning expertise, customer feedback analysis, customer success, market development, sales, customer acquisition, strategic planning, presentation, b2c, strategic thinking, build, product positioning"
Business Development Representative,Savram AI,2025-07-11,Bengaluru,3-5 Years,"outbound prospecting, cold calling, strategic messaging, crm management, lead qualification, client relationships, business development, sales, marketing, build, saas"
AI Researcher / Research Engineer  Autonomous Agents,Savram AI,2025-07-11,Bengaluru,3-5 Years,"ai research methodologies, machine learning algorithms, python programming, computer vision techniques, workflow automation, artificial intelligence"
MLE Inferencing Team - Edge AI,Savram AI,2025-07-11,Bengaluru,2-3 Years,"model optimization techniques, llm inference pipelines, performance profiling tools, production, documentation, distillation"
Reasoning - Back End - Observability Engineer,Savram AI,2025-07-11,Bengaluru,3-5 Years,"observability systems, incident management, chaos engineering, monitoring tools, python, devops"
Bot Testing Expert,Savram AI,2025-07-11,Chennai,1-4 Years,"bug identification, language analysis, test case design, documentation and reporting"
Machine Learning Engineer - Inference (2-3 years),Savram AI,2025-07-11,Bengaluru,2-3 Years,"machine learning engineering, model inference optimization, quantization and pruning, production, documentation, distillation"
Machine Learning Engineer - Speech AI (ASR & TTS) (2-3 years),Savram AI,2025-07-11,Bengaluru,2-3 Years,"speech recognition expertise, deep learning proficiency, asr/tts model optimization, machine learning frameworks, cuda, github, signal processing, mobile"
Backend Engineer,Savram AI,2025-07-11,Bengaluru,2-5 Years,"python programming, restful apis, machine learning, version control, problem solving, orchestration, sql, docker, security, database, git, linux, debugging, github, nosql, django, web technologies, unix"
Airports/Airlines Recruitment - Ground Staff & Cabin Crew,AI Aviation,2025-07-31,Chandigarh,0-3 Years,"ground staff, air ticketing, cabin crew, airport jobs, air hostess, flight attendant"
Reasoning AI - Product Manager,Savram AI,2025-07-11,Bengaluru,3-7 Years,"product management, generative ai, system architecture, user centric design, data analysis, product development, cutting"
Product Manager,Savram AI,2025-07-11,Bengaluru,1-5 Years,"product vision development, data analysis techniques, cross functional collaboration, customer centric design, agile sprint management, learning"
Account Executive  Enterprise Sales,Savram AI,2025-07-11,Bengaluru,5-9 Years,"bb consultative selling, solution structuring ability, stakeholder management, customer success, customer engagement, market, b2b, saas, build, lead generation"
Marketing Manager,Savram AI,2025-07-11,Bengaluru,3-5 Years,"pipeline generation, events management, sales collateral creation, cross functional collaboration, collateral development, sales enablement, campaigns, content marketing, marketing initiatives, lead nurturing"
"Software Engineer  Backend Systems, Autonomous Agents",Savram AI,2025-07-11,Bengaluru,3-5 Years,"backend systems design, api development, cloud platform proficiency, microservices architecture, security best practices, orchestration, docker, sql, java, software engineer, python, machine learning, nosql"
